constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,strat,id
23,0.0,0.1111111111111111,48000,64800,48,0.001,0.0007407407407407407,7.407407407407406e-07,Enumeration,87f249a0-23
13,0.5555555555555556,0.6666666666666666,430700,107473,0,0.0,0.0,0.0,Random,d9669406-13
10,0.0,0.8888888888888888,987840,1162,0,0.0,0.0,0.0,Enumeration,8cce13a3-10
16,0.0,0.6666666666666666,302400,71663,0,0.0,0.0,0.0,Random,d9669406-16
11,0.0,0.6666666666666666,846720,162928,462,0.0005456349206349206,0.0028356083668859863,1.5472069462175517e-06,Random,d9669406-11
14,0.5555555555555556,0.4444444444444444,381698,427292,69,0.00018077118559699029,0.00016148207782968086,2.9191306661936867e-08,Random,d9669406-14
11,0.0,0.4444444444444444,846720,811258,39521,0.04667540627362056,0.048715698335178206,0.002273825011697584,Random,87f249a0-11
19,0.4444444444444444,0.3333333333333333,127892,171054,94,0.0007349951521596347,0.0005495340652659393,4.039048739170417e-07,Random,d9669406-19
14,0.1111111111111111,0.4444444444444444,453600,427292,979,0.002158289241622575,0.0022911732492066315,4.945014574456112e-06,Random,d9669406-14
5,0.7777777777777777,0.5555555555555556,83387,1201380,264,0.003165961121038052,0.00021974729061579186,6.957113785430467e-07,Random,87f249a0-5
7,0.0,0.5555555555555556,1613472,934345,61138,0.037892197695404695,0.0654340741374974,0.0024794408732338197,Enumeration,87f249a0-7
13,0.0,0.0,544320,604800,19440,0.03571428571428571,0.03214285714285714,0.0011479591836734693,Random,f314817c-13
19,0.6666666666666666,0.6666666666666666,74898,44266,0,0.0,0.0,0.0,Random,87f249a0-19
16,0.0,0.7777777777777777,302400,13203,0,0.0,0.0,0.0,Enumeration,87f249a0-16
3,0.7777777777777777,0.6666666666666666,113526,448789,421,0.003708401599633564,0.0009380800331558927,3.478777495539621e-06,Random,8cce13a3-3
7,0.6666666666666666,0.7777777777777777,396259,46097,0,0.0,0.0,0.0,Random,87f249a0-7
12,0.0,0.4444444444444444,635040,645765,10309,0.016233623078861174,0.015964011676074114,0.000259153748375926,Random,d9669406-12
21,0.5555555555555556,0.3333333333333333,60146,103259,0,0.0,0.0,0.0,Random,d9669406-21
20,0.0,0.3333333333333333,86400,137233,170,0.0019675925925925924,0.0012387691007265016,2.4373929065220514e-06,Enumeration,87f249a0-20
10,0.0,0.3333333333333333,987840,1119555,92467,0.0936052397149336,0.08259263725319435,0.007731103608773811,Enumeration,87f249a0-10
21,0.0,0.3333333333333333,72000,103259,93,0.0012916666666666669,0.0009006478854143463,1.1633368519935308e-06,Enumeration,d9669406-21
15,0.0,0.3333333333333333,378000,413180,4243,0.011224867724867723,0.010269132097390969,0.00011526964944240704,Enumeration,87f249a0-15
11,0.0,0.3333333333333333,846720,932441,76861,0.09077499055177626,0.08242988028196957,0.007482571603779837,Enumeration,d9669406-11
16,0.0,0.3333333333333333,302400,312331,2034,0.006726190476190476,0.0065123218636638685,4.380311729726293e-05,Enumeration,d9669406-16
21,0.0,0.4444444444444444,72000,97344,0,0.0,0.0,0.0,Enumeration,87f249a0-21
11,0.6666666666666666,0.4444444444444444,305171,811258,149,0.00048825084952370965,0.0001836653690934327,8.967477248795418e-08,Random,d9669406-11
15,0.5555555555555556,0.2222222222222222,321365,419909,1146,0.0035660386165263795,0.0027291627471666483,9.732299747181484e-06,Random,87f249a0-15
2,0.0,0.3333333333333333,4117715,4088646,2879862,0.6993835173148214,0.7043559163595968,0.49261491822507897,Enumeration,8cce13a3-2
5,0.0,0.5555555555555556,2521050,1201380,284819,0.11297633922373615,0.23707652865870915,0.026784038323732128,Random,87f249a0-5
14,0.2222222222222222,0.5555555555555556,453600,260248,14,3.08641975308642e-05,5.3794841843164976e-05,1.6603346247890427e-09,Random,f314817c-14
1,0.7777777777777777,0.6666666666666666,131768,510560,902,0.00684536458017121,0.0017666875587590094,1.2093620438958067e-05,Random,8cce13a3-1
17,0.0,0.1111111111111111,201600,252000,3600,0.017857142857142856,0.014285714285714284,0.0002551020408163265,Enumeration,d9669406-17
9,0.6666666666666666,0.5555555555555556,348228,672913,3,8.615045315138357e-06,4.4582286268804435e-06,3.840784164582209e-11,Random,d9669406-9
1,0.0,0.5555555555555556,4941258,1876240,1433352,0.2900783565642596,0.763949174945636,0.2216051211668521,Enumeration,d9669406-1
6,0.0,0.5555555555555556,2016840,1089390,161229,0.07994139346700779,0.14799933907966845,0.011831273398224878,Enumeration,d9669406-6
20,0.0,0.6666666666666666,86400,38834,0,0.0,0.0,0.0,Enumeration,87f249a0-20
10,0.0,0.6666666666666666,987840,188220,486,0.0004919825072886297,0.0025820847943895447,1.2703405511756138e-06,Enumeration,87f249a0-10
11,0.0,0.6666666666666666,846720,162928,462,0.0005456349206349206,0.0028356083668859863,1.5472069462175517e-06,Enumeration,d9669406-11
21,0.0,0.6666666666666666,72000,35286,0,0.0,0.0,0.0,Enumeration,d9669406-21
16,0.0,0.6666666666666666,302400,71663,0,0.0,0.0,0.0,Enumeration,d9669406-16
7,0.0,0.5555555555555556,1613472,934345,61138,0.037892197695404695,0.0654340741374974,0.0024794408732338197,Enumeration,8cce13a3-7
5,0.0,0.5555555555555556,2521050,1201380,284819,0.11297633922373615,0.23707652865870915,0.026784038323732128,Enumeration,87f249a0-5
